"datset_id","name","handle","lat","long","state","age_type","bacon","amb_rise","pol_age_min","pol_age_max","gc_age_min","gc_age_max","reason","new","state2","x","y","set.year"
280,"Blandin Pond","BLANDIN",47.133333,-93.666667,"minnesota","Radiocarbon years BP",TRUE,FALSE,-28,696,-32,81,NA,NA,"minnesota",212989.641081798,1225260.94592028,1869
282,"Blackhoof Site","BLKHOOF",46.503333,-92.573333,"minnesota","Radiocarbon years BP",FALSE,FALSE,9750,10795,NA,NA,NA,NA,"minnesota",287071.25369119,1145439.0608775,1858
296,"Bob Lake","BOBLAKE",46.633611,-92.614722,"minnesota","Radiocarbon years BP",TRUE,FALSE,-9,495,-15,92,NA,NA,"minnesota",285607.628979334,1160214.97986788,1858
298,"Bog D Pond","BOGD",47.1775,-95.162675,"minnesota","Radiocarbon years BP",TRUE,FALSE,-10,10296,0,8560,NA,NA,"minnesota",101479.189332516,1245816.98709436,1878
305,"Bossuot Lake","BOSSUOT",44.296475,-93.73571,"minnesota","Radiocarbon years BP",TRUE,FALSE,-13,467,-15,96,NA,NA,"minnesota",166712.634737809,912781.837383831,1854
314,"Brown's Bay, Lake Minnetonka","BROWNSBY",44.95769,-93.545105,"minnesota","Calendar years BP",FALSE,FALSE,-32,584,NA,NA,NA,NA,"minnesota",191176.023829168,983818.124127731,1855
325,"Burntside Lake","BURNTSDE",47.924167,-91.994722,"minnesota","Radiocarbon years BP",TRUE,FALSE,-24,904,-24,70,NA,NA,"minnesota",348306.899741792,1297713.69156685,1880
334,"Campbell Lake","CAMPBELL",44.70722,-93.497645,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,343,-15,96,NA,NA,"minnesota",191338.406333718,955686.364030169,1854
352,"Cedar Bog","CEDARBLK",45.411111,-93.197222,"minnesota","Radiocarbon years BP",TRUE,FALSE,-10,11056,-10,7880,NA,NA,"minnesota",224593.2761041,1030470.34874412,1855
382,"Cindy Pond","CINDY",47.172305,-94.938965,"minnesota","Radiocarbon years BP",TRUE,FALSE,-9,495,-15,72,NA,NA,"minnesota",118146.606992935,1242767.28166037,1878
515,"Cottonwood Lake","MNGRCL",45.76101,-96.01988,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,165,-15,82,NA,NA,"minnesota",12403.1964222655,1100005.35355526,1868
521,"Crazy Pond","CRAZY",47.182465,-95.73495,"minnesota","Radiocarbon years BP",TRUE,FALSE,-9,552,-15,79,NA,NA,"minnesota",58745.1608008107,1252912.7176246,1871
545,"Dalton Lake","DALTON",46.173889,-95.915278,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,256,-15,89,NA,NA,"minnesota",27639.5488726582,1144129.65510178,1861
717,"Dogfish Lake","DOGFISH",48.183333,-92.183333,"minnesota","Radiocarbon years BP",TRUE,FALSE,-24,189,-24,57,NA,NA,"minnesota",337509.837343369,1327924.4270101,1893
774,"Dunnigan Lake","DUNNIGAN",47.708333,-91.641667,"minnesota","Radiocarbon years BP",FALSE,FALSE,-33,237,NA,NA,NA,NA,"minnesota",372012.252010645,1271015.84349609,1895
781,"East Twin Lake","EASTTWIN",45.333333,-93.508333,"minnesota","Radiocarbon years BP",TRUE,FALSE,-5,915,-15,95,NA,NA,"minnesota",199372.362344846,1024929.03742438,1855
786,"Eggert Lake","EGGERT",44.47012,-93.619035,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,433,-15,95,NA,NA,"minnesota",178418.072165914,930743.784850951,1855
817,"Faith Pond","FAITH",47.272455,-96.09405,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,291,-15,79,NA,NA,"minnesota",33497.0637751347,1267069.0721991,1871
822,"Farquar Lake","FARQUAR",44.75815,-93.16449,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,419,-15,96,NA,NA,"minnesota",218186.64208869,958014.902012345,1854
824,"Fawn Lake","FAWNLAKE",46.218889,-94.753333,"minnesota","Radiocarbon years BP",TRUE,FALSE,-10,602,-15,91,NA,NA,"minnesota",116910.403055365,1135672.91149826,1859
846,"Fox Pond","FOXPOND",47.165,-95.558333,"minnesota","Radiocarbon years BP",TRUE,FALSE,-13,2759,-15,77,NA,NA,"minnesota",71657.4290798263,1248937.30099233,1873
850,"French Lake","FRENCH",44.945765,-94.42074,"minnesota","Radiocarbon years BP",TRUE,FALSE,10,3524,0,3465,NA,NA,"minnesota",122633.929290218,991686.939699306,1856
869,"George Lake","GEORGE",44.2329,-93.87066,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,1500,-15,95,NA,NA,"minnesota",155119.584058485,907176.523999103,1855
15245,"George Lake","MNBELG",44.2329,-93.87066,"minnesota","Calendar years BP",TRUE,TRUE,-10,275,-13,90,NA,NA,"minnesota",155119.584058485,907176.523999103,1855
967,"Goldsmith Lake","GOLDSMTH",46.583333,-92.466667,"minnesota","Radiocarbon years BP",TRUE,FALSE,-9,608,-15,92,NA,NA,"minnesota",296209.845608153,1153347.8349059,1858
990,"Grice Pond","GRICE",47.2036,-95.755515,"minnesota","Radiocarbon years BP",TRUE,FALSE,-6,650,-15,79,NA,NA,"minnesota",57572.0892709998,1255478.37691274,1871
1032,"Hemo Pond","HEMOPOND",47.133,-95.47461,"minnesota","Radiocarbon years BP",TRUE,FALSE,-13,123,-15,77,NA,NA,"minnesota",77382.6832580704,1244451.96546483,1873
1109,"Blocknic Lake [Horse Pond]","HORSE",47.181535,-95.86866,"minnesota","Radiocarbon years BP",TRUE,FALSE,-11,251,-15,79,NA,NA,"minnesota",48732.0410140794,1254384.52185562,1871
1110,"Horseshoe Lake","HORSHOHA",45.460278,-93.047778,"minnesota","Radiocarbon years BP",TRUE,FALSE,8055,13042,9300,13530,NA,NA,"minnesota",236848.653325377,1034473.09122508,1854
1111,"Hostage Lake","HOSTAGE",46.55,-94.133333,"minnesota","Radiocarbon years BP",TRUE,FALSE,-30,4630,-30,3485,NA,NA,"minnesota",169178.823979438,1165575.58594639,1863
1134,"Hug Lake","HUGLAKE",47.958333,-90.933333,"minnesota","Radiocarbon years BP",TRUE,FALSE,-14,370,-20,65,NA,NA,"minnesota",427498.772250313,1293413.9180913,1885
1138,"Hustler Lake","HUSTLER",48.233333,-92.158333,"minnesota","Radiocarbon years BP",FALSE,FALSE,-33,180,NA,NA,NA,NA,"minnesota",339971.41563344,1333248.58879608,1894
1153,"Irvin Lake","IRVIN",47.135556,-93.643611,"minnesota","Radiocarbon years BP",TRUE,FALSE,-32,12000,-32,7500,NA,NA,"minnesota",214753.548505461,1225280.88533052,1869
1163,"Jacobson Lake","JACOBSN1",46.416944,-92.716944,"minnesota","Radiocarbon years BP",FALSE,FALSE,6160,10800,NA,NA,NA,NA,"minnesota",275011.286323306,1137169.79112615,1866
3138,"Jacobson Lake","JACOBSN2",46.416944,-92.716944,"minnesota","Radiocarbon years BP",TRUE,FALSE,18,9000,0,7210,NA,NA,"minnesota",275011.286323306,1137169.79112615,1866
15274,"Jones Lake","MNSHBL",45.428085,-93.981475,"minnesota","Calendar years BP",TRUE,FALSE,-6,491,-13,94,NA,NA,"minnesota",164069.474393861,1040205.48115173,1856
1446,"Kegan Lake","KEGAN",44.75836,-93.11674,"minnesota","Radiocarbon years BP",TRUE,FALSE,-11,216,-15,96,NA,NA,"minnesota",221935.359807778,957574.774271244,1854
1520,"Kirchner Marsh","KIRCHNR1",44.77085,-93.12255,"minnesota","Radiocarbon years BP",TRUE,FALSE,182,11786,0,13270,NA,NA,"minnesota",221649.926486999,959010.866477861,1854
3455,"Kirchner Marsh","KIRCHNR2",44.77085,-93.12255,"minnesota","Radiocarbon years BP",TRUE,FALSE,10,12237,0,12050,NA,NA,"minnesota",221649.926486999,959010.866477861,1854
1548,"Kotiranta Lake","KOTIRANT",46.72,-92.62,"minnesota","Radiocarbon years BP",TRUE,FALSE,150,14970,200,16150,NA,NA,"minnesota",286325.834595816,1169815.83972483,1858
1552,"Kryzewinski Lake","KRYZ",46.353333,-92.870278,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,325,-15,80,NA,NA,"minnesota",262480.340950389,1131531.48230106,1870
1564,"Kylen Lake","KYLENLK",47.35,-91.8,"minnesota","Radiocarbon years BP",TRUE,FALSE,8406,15900,8410,15850,NA,NA,"minnesota",355973.898588226,1232599.82052119,1870
1584,"Lake Ann","LAKEANN",45.425,-93.6875,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,314,-15,95,NA,NA,"minnesota",186790.609494993,1036849.24633744,1855
3468,"Lake Ann","LAKEANNF",45.425,-93.6875,"minnesota","Radiocarbon years BP",TRUE,FALSE,791,10547,-30,7420,NA,NA,"minnesota",186790.609494993,1036849.24633744,1855
3469,"Lake Ann","LAKEANNH",45.425,-93.6875,"minnesota","Radiocarbon years BP",FALSE,FALSE,4846,13327,NA,NA,NA,NA,"minnesota",186790.609494993,1036849.24633744,1855
1588,"Lake Carlson","LAKECARL",44.79985,-93.15975,"minnesota","Radiocarbon years BP",TRUE,FALSE,11,12209,9,97,NA,NA,"minnesota",219129.37486314,962575.392478407,1853
1629,"Lewis Lake","LEWISLK",45.749444,-93.364167,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,359,-15,93,NA,NA,"minnesota",216377.850418702,1069467.537539,1857
1633,"Lily Lake (US:Minnesota)","LILYLAKE",45.05,-92.825,"minnesota","Radiocarbon years BP",TRUE,FALSE,0,14679,0,11770,NA,NA,"minnesota",248686.155201428,987027.696686918,1847
1639,"Little Bass Lake","LITTBASS",47.286,-93.600465,"minnesota","Radiocarbon years BP",TRUE,FALSE,0,10614,0,10660,NA,NA,"minnesota",220145.929849084,1241471.17107877,1867
1649,"Lake of the Clouds","LKCLDSA",48,-91.116667,"minnesota","Varve years BP",NA,NA,9114,11800,NA,NA,NA,NA,"minnesota",414336.965069394,1299350.4480947,1879
3482,"Lake of the Clouds","LKCLDSH",48,-91.116667,"minnesota","Radiocarbon years BP",TRUE,FALSE,491,9588,780,9090,NA,NA,"minnesota",414336.965069394,1299350.4480947,1879
3483,"Lake of the Clouds","LKCLDSSW",48,-91.116667,"minnesota","Varve years BP",FALSE,FALSE,-20,960,NA,NA,NA,NA,"minnesota",414336.965069394,1299350.4480947,1879
1685,"Lake Mabel","MABEL",44.36044,-93.61535,"minnesota","Radiocarbon years BP",FALSE,FALSE,-14,70,NA,NA,NA,NA,"minnesota",177138.417054564,918600.70054071,1854
1708,"Martin Pond","MARTINPD",47.173975,-94.943965,"minnesota","Radiocarbon years BP",TRUE,FALSE,0,10909,0,72,NA,NA,"minnesota",117799.057747585,1243006.11516788,1878
1720,"McCraney Lake","MCCRANEY",47.17087,-95.70266,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,257,-15,79,NA,NA,"minnesota",60960.519960891,1251259.60867284,1871
1757,"Lake Minnie","MINNIEN",47.244755,-95.007715,"minnesota","Radiocarbon years BP",TRUE,FALSE,3,6534,0,72,NA,NA,"minnesota",114173.268595868,1251503.78713486,1878
3492,"Lake Minnie","MINNIEO",47.244755,-95.007715,"minnesota","Radiocarbon years BP",TRUE,FALSE,1,11581,0,8140,NA,NA,"minnesota",114173.268595868,1251503.78713486,1878
1777,"Mud Lake","MUDLKMN1",44.226105,-93.829815,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,285,-15,95,NA,NA,"minnesota",158250.331085676,905998.393172662,1855
1778,"Mud Lake (US:Minnesota:Hubbard)","MUDLKMN2",46.866667,-94.75,"minnesota","Radiocarbon years BP",TRUE,FALSE,-30,3631,-30,2870,NA,NA,"minnesota",127450.171793184,1207028.65256114,1870
1781,"Murphy Lake","MURPHY",44.711625,-93.341105,"minnesota","Radiocarbon years BP",TRUE,FALSE,-13,311,-15,96,NA,NA,"minnesota",203685.548052454,954609.919766159,1854
1786,"Myrtle Lake","MYRTLE",47.982605,-93.3853,"minnesota","Radiocarbon years BP",TRUE,FALSE,0,11000,0,11120,NA,NA,"minnesota",246021.47198662,1316332.62555567,1882
1793,"Nels Lake","NELSLK",48.033333,-91.9,"minnesota","Radiocarbon years BP",FALSE,FALSE,-33,97,NA,NA,NA,NA,"minnesota",356642.624604423,1309029.40381044,1890
1794,"Nelson Pond","NELSONPD",46.40707,-92.686585,"minnesota","Radiocarbon years BP",TRUE,FALSE,5497,7770,5540,7245,NA,NA,"minnesota",277196.362860828,1135804.49654956,1866
1830,"Lake Onamia","ONAMIA",46.068333,-93.68,"minnesota","Radiocarbon years BP",TRUE,FALSE,-9,1093,-15,92,NA,NA,"minnesota",196641.747419429,1107803.83158335,1858
1831,"Ondris Pond","ONDRISPD",46.341585,-94.408,"minnesota","Radiocarbon years BP",TRUE,FALSE,-15,1558,-15,975,NA,NA,"minnesota",145135.325357733,1145466.37678702,1870
3541,"Pogonia Bog Pond","PGONIABG",45.03503,-93.6305,"minnesota","Radiocarbon years BP",TRUE,FALSE,-24,167,-24,95,NA,NA,"minnesota",185614.101733716,993219.091045937,1855
3558,"Pogonia Bog Pond","POGONIA",45.03503,-93.6305,"minnesota","Radiocarbon years BP",TRUE,FALSE,-24,11117,-24,11190,NA,NA,"minnesota",185614.101733716,993219.091045937,1855
3784,"Third Lake","THIRDLK",48.098755,-92.010535,"minnesota","Radiocarbon years BP",FALSE,FALSE,150,9977,NA,NA,NA,NA,"minnesota",349247.185574197,1317157.44124853,1893
3786,"Third Lake","THRDBGN",48.098755,-92.010535,"minnesota","Radiocarbon years BP",FALSE,FALSE,292,1600,NA,NA,NA,NA,"minnesota",349247.185574197,1317157.44124853,1893
3788,"Third Lake","THRDBGW",48.098755,-92.010535,"minnesota","Radiocarbon years BP",TRUE,FALSE,50,3215,50,57,NA,NA,"minnesota",349247.185574197,1317157.44124853,1893
1884,"Pennington Lake","PENNINGT",45.780556,-93.273056,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,495,-15,93,NA,NA,"minnesota",223830.080086334,1072020.60660846,1857
1891,"Peterson Slough","PETERSL",46.966667,-95.316667,"minnesota","Radiocarbon years BP",TRUE,FALSE,-30,3466,-30,3010,NA,NA,"minnesota",86441.314409346,1224339.54089977,1871
1955,"Pleasant Lake","PLEASAMN",44.60587,-93.563475,"minnesota","Radiocarbon years BP",TRUE,FALSE,-8,1245,-15,95,NA,NA,"minnesota",184729.084365352,945162.408156753,1855
1966,"Portage Lake","PORTAGE",47.081,-94.113,"minnesota","Radiocarbon years BP",TRUE,FALSE,12,11780,0,9780,NA,NA,"minnesota",178688.459922578,1223950.61357802,1873
2051,"Reichow Pond","REICHOW",47.190745,-95.77364,"minnesota","Radiocarbon years BP",TRUE,FALSE,-8,645,-15,79,NA,NA,"minnesota",55995.2706162175,1254277.16667578,1871
2053,"Reidel Lake","REIDEL",46.211944,-95.284167,"minnesota","Radiocarbon years BP",TRUE,FALSE,-31,11610,0,11130,NA,NA,"minnesota",76346.935753667,1140873.80499771,1871
2062,"Rholl Lake","RHOLL",47.6,-96.166667,"minnesota","Radiocarbon years BP",TRUE,FALSE,-9,722,-15,78,NA,NA,"minnesota",33915.336825595,1303938.98567383,1872
2066,"Rice Lake","RICEMNA",46.922222,-95.575,"minnesota","Radiocarbon years BP",FALSE,FALSE,-14,6760,NA,NA,NA,NA,"minnesota",66281.3372309986,1222416.26900801,1871
3568,"Rice Lake","RICEMNB",46.922222,-95.575,"minnesota","Radiocarbon years BP",TRUE,FALSE,-15,4297,-18,1930,NA,NA,"minnesota",66281.3372309986,1222416.26900801,1871
2290,"Rossburg Bog","ROSSBURG",46.583333,-93.6,"minnesota","Radiocarbon years BP",TRUE,FALSE,2000,12264,2000,10100,NA,NA,"minnesota",210133.236885243,1163878.09298025,1870
2314,"Rutz Lake","RUTZLAKE",44.87083,-93.858975,"minnesota","Radiocarbon years BP",TRUE,FALSE,-3,11838,-15,12000,NA,NA,"minnesota",165389.006576571,977439.088810628,1855
2354,"Sedivy Lake","SEDIVY",47.208889,-95.833333,"minnesota","Radiocarbon years BP",TRUE,FALSE,-13,124,-15,79,NA,NA,"minnesota",51847.9506585086,1256975.23218112,1871
2375,"Shagawa Lake","SHAGAWA",47.916667,-91.866667,"minnesota","Radiocarbon years BP",TRUE,FALSE,-18,1950,-20,1935,NA,NA,"minnesota",357722.402042141,1295853.07177323,1884
2383,"Silver Lake","SILVERMN",44.895835,-94.20414,"minnesota","Radiocarbon years BP",TRUE,FALSE,-13,279,-15,94,NA,NA,"minnesota",138782.169734268,983838.737463492,1856
2394,"Siseebakwet South","SISEEBA",47.133333,-93.683333,"minnesota","Radiocarbon years BP",TRUE,FALSE,-28,632,-32,81,NA,NA,"minnesota",211737.715604547,1225424.25507873,1869
2581,"Solum Lake","SOLUM",46.662222,-96.25,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,229,-15,81,NA,NA,"minnesota",10923.0306011806,1201898.16368986,1869
2584,"South Stanchfield Lake","SOSTANCH",45.725,-93.466667,"minnesota","Radiocarbon years BP",TRUE,FALSE,-14,131,-15,98,NA,NA,"minnesota",208135.003771951,1067772.04683308,1852
2585,"Spectacle Lake","SPECTACL",45.572222,-93.408333,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,359,-15,95,NA,NA,"minnesota",210487.111983245,1050323.62139282,1855
2600,"St. Catherines Lake","STCATHER",44.626875,-93.43352,"minnesota","Radiocarbon years BP",TRUE,FALSE,11,266,-15,95,NA,NA,"minnesota",195240.613335738,946171.812371238,1855
2605,"Stone Lake","STONE",45.4,-93.522222,"minnesota","Radiocarbon years BP",TRUE,FALSE,-9,682,-15,100,NA,NA,"minnesota",199240.545084148,1032429.49824282,1850
2607,"Stone Lake Tamarack Swamp","STONTAM1",44.891667,-93.691667,"minnesota","Radiocarbon years BP",FALSE,FALSE,202,10761,NA,NA,NA,NA,"minnesota",178775.254385959,978015.506944759,1855
3780,"Stone Lake Tamarack Swamp","STONTAM2",44.891667,-93.691667,"minnesota","Radiocarbon years BP",FALSE,FALSE,150,346,NA,NA,NA,NA,"minnesota",178775.254385959,978015.506944759,1855
2613,"Sunfish Lake","SUNFISH",44.874722,-93.1,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,544,-15,97,NA,NA,"minnesota",224832.182288653,970268.725257146,1853
2638,"Quallen Lake [Terhell Pond]","TERHELL",47.19324,-95.786645,"minnesota","Radiocarbon years BP",TRUE,FALSE,-8,10487,0,4270,NA,NA,"minnesota",55066.2021300448,1254704.38922792,1871
2640,"Thompson Pond","THOMPSON",47.19482,-96.09332,"minnesota","Radiocarbon years BP",TRUE,FALSE,6,10175,0,79,NA,NA,"minnesota",32176.1749156691,1258527.01371588,1871
2648,"Toenjes Lake","TOENJES",45.40895,-93.981715,"minnesota","Radiocarbon years BP",TRUE,FALSE,-13,310,-15,94,NA,NA,"minnesota",163767.255049315,1038096.46056354,1856
2881,"Twin Lakes","TWINMN1",45.848889,-93.167778,"minnesota","Radiocarbon years BP",TRUE,FALSE,-13,287,-15,95,NA,NA,"minnesota",232876.45277338,1078560.20797804,1855
2888,"Upper Graven Lake","UPGRAVEN",46.184444,-95.306944,"minnesota","Radiocarbon years BP",TRUE,FALSE,12,11000,-34,10310,NA,NA,"minnesota",74154.4079411464,1138108.01774884,1871
3837,"Weber Lake","WEBERLK",47.471667,-91.66,"minnesota","Radiocarbon years BP",TRUE,FALSE,10,15000,10,69,NA,NA,"minnesota",367893.643012434,1244957.97445237,1881
2948,"Wentzel's Pond","WENTZEL",46.95,-94.95,"minnesota","Radiocarbon years BP",TRUE,FALSE,-30,3249,-30,2425,NA,NA,"minnesota",113729.588239272,1218398.90904063,1860
2952,"White Lily Lake","WHITLIL1",46.086111,-93.102778,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,359,-15,95,NA,NA,"minnesota",241108.300514199,1104158.26941576,1855
3841,"White Lily Lake","WHITLILY",46.086111,-93.102778,"minnesota","Radiocarbon years BP",FALSE,FALSE,8000,16150,NA,NA,NA,NA,"minnesota",241108.300514199,1104158.26941576,1855
2956,"Willow River Pond","WILWRDPD",46.324305,-92.78081,"minnesota","Radiocarbon years BP",TRUE,FALSE,4818,8003,5160,7890,NA,NA,"minnesota",268923.500717107,1127504.77433872,1863
3029,"Wolf Creek","WOLFCRK",46.116667,-94.116667,"minnesota","Radiocarbon years BP",TRUE,FALSE,9000,20658,9150,20500,NA,NA,"minnesota",163938.929071781,1117591.83928235,1858
3031,"Wolsfeld Lake","WOLSFELD",45.005,-93.5727,"minnesota","Radiocarbon years BP",TRUE,FALSE,-25,12000,-25,13864,NA,NA,"minnesota",189694.866555631,989319.526546676,1855
10970,"South Heron Lake","SOUHERON",43.7195,-95.228,"minnesota","Calendar years BP",TRUE,FALSE,-10,145,-13,92,NA,NA,"minnesota",39429.1361516097,865859.143501355,1858
10971,"Ocheda Lake","OCHEDA",43.56928,-95.59275,"minnesota","Calendar years BP",TRUE,FALSE,-10,124,-13,82,NA,NA,"minnesota",7852.2007114708,853770.306904406,1868
10973,"Blomford Lake","BLOMFORD",45.4935,-93.1545,"minnesota","Calendar years BP",TRUE,FALSE,-20,1322,-30,96,NA,NA,"minnesota",229033.809349671,1039162.75508916,1854
10974,"Fawn Lake","FAWNANMN",45.4072,-93.0532,"minnesota","Calendar years BP",TRUE,FALSE,-26,403,-30,96,NA,NA,"minnesota",235709.418943392,1028658.79169368,1854
10975,"Frovold Lake","FROVOLD",45.377,-95.5625,"minnesota","Calendar years BP",TRUE,FALSE,-20,334,-30,83,NA,NA,"minnesota",40965.3050406653,1052229.35783248,1867
10976,"Goose Lake","GOOSEMN",44.99,-94.591,"minnesota","Calendar years BP",TRUE,FALSE,-17,217,-28,94,NA,NA,"minnesota",110043.874295033,998434.888206856,1856
10977,"Olson Lake","OLSONMN",46.51205,-93.66005,"minnesota","Calendar years BP",TRUE,FALSE,-28,2063,-28,80,NA,NA,"minnesota",204551.436350912,1156599.04195553,1870
10983,"Round Grove Lake","RNDGROVE",44.709,-94.4935,"minnesota","Calendar years BP",TRUE,FALSE,-22,330,-28,95,NA,NA,"minnesota",113282.056133147,966385.217471672,1855
12004,"Last Lake","LASTLAKE",45.45,-95.24005,"minnesota","Calendar years BP",FALSE,FALSE,-24,870,NA,NA,NA,NA,"minnesota",67097.4306569194,1056469.5937242,1856
12005,"Cottonwood Lake","MNLYC2",44.6173,-95.68015,"minnesota","Calendar years BP",TRUE,FALSE,-11,816,-20,91,NA,NA,"minnesota",18847.3212622951,970076.405813252,1859
12006,"Monson Lake","MONSON",45.324,-95.27935,"minnesota","Calendar years BP",TRUE,FALSE,-27,176,-30,94,NA,NA,"minnesota",61970.9276193022,1043054.63868706,1856
12007,"Deans Lake","DEANS",44.77528,-93.44692,"minnesota","Calendar years BP",TRUE,FALSE,0,733,-29,96,NA,NA,"minnesota",196277.758947598,962692.358610003,1854
12008,"Lake Emily","EMILY",44.30865,-93.92,"minnesota","Calendar years BP",TRUE,FALSE,-12,211,-29,96,NA,NA,"minnesota",152333.976924338,916052.044685713,1854
12009,"Perch Lake","PERCHMN",46.19165,-95.4687,"minnesota","Calendar years BP",TRUE,FALSE,-27,201,-29,79,NA,NA,"minnesota",61951.3852929127,1140776.73071721,1871
12010,"Chub Lake","CHUBLAKE",44.5635,-93.218805,"minnesota","Calendar years BP",TRUE,FALSE,-9,427,-29,96,NA,NA,"minnesota",211245.556465023,937044.863335701,1854
12011,"Lake Rachel","MNDLLR",45.80155,-95.55285,"minnesota","Calendar years BP",TRUE,FALSE,-30,672,-30,84,NA,NA,"minnesota",48918.8151761407,1098832.43779926,1866
12012,"Ziebell Lake","ZIEBELL",46.05545,-95.26345,"minnesota","Calendar years BP",TRUE,FALSE,-32,483,-32,79,NA,NA,"minnesota",75329.9269609796,1123404.49099384,1871
12013,"Mud Lake","MNDLML",45.8576,-95.4609,"minnesota","Calendar years BP",TRUE,FALSE,-28,326,-30,91,NA,NA,"minnesota",56915.8817385947,1103917.66346411,1859
12014,"Lybeck Lake","LYBECK",45.6745,-95.7125,"minnesota","Calendar years BP",TRUE,FALSE,-32,235,-32,84,NA,NA,"minnesota",34491.9242388118,1086756.75232056,1866
12015,"Union Lake","UNION",45.81725,-95.34235,"minnesota","Calendar years BP",TRUE,FALSE,-27,525,-30,84,NA,NA,"minnesota",65327.8493474331,1098091.28334341,1866
12016,"Albert Lea Lake","MNFRAL",43.65255,-93.284,"minnesota","Calendar years BP",TRUE,FALSE,-27,209,-29,96,NA,NA,"minnesota",193492.153952912,837111.048630138,1854
15248,"Albert Lea Lake","ALBERTL3",43.65255,-93.284,"minnesota","Calendar years BP",TRUE,TRUE,9,317,-46,90,NA,NA,"minnesota",193492.153952912,837111.048630138,1854
12024,"Everhart Lake","EVRHRTLK",43.6176,-93.43875,"minnesota","Calendar years BP",TRUE,FALSE,-27,363,-30,96,NA,NA,"minnesota",180630.074533319,834819.111961833,1854
13029,"Sharkey Lake","SHARKEY",44.5924,-93.4132,"minnesota","Calibrated radiocarbon years BP",TRUE,TRUE,65,12082,-51,12040,NA,NA,"minnesota",196353.664564324,942161.938543656,1855
13032,"Kimble Pond","KIMBLE",44.21895,-93.84015,"minnesota","Calibrated radiocarbon years BP",TRUE,FALSE,-48,12254,-51,12622,NA,NA,"minnesota",157328.313411382,905317.351926584,1855
13051,"West Olaf Lake","WESTOLAF",46.5986,-96.18675,"minnesota","Calibrated radiocarbon years BP",TRUE,FALSE,-25,8633,81,9096,NA,NA,"minnesota",14557.6549802276,1194129.09633485,1869
13056,"Oak Glen Lake","OAKGLEN",43.92945,-93.0815,"minnesota","Calendar years BP",TRUE,FALSE,-29,199,-29,96,NA,NA,"minnesota",213443.296186673,865674.709662242,1854
