Material (as in the Geochronology table of the Neotoma database),Accuracy Rank,Notes
gelatin from KOH-extracted collagen from reptile bone,3,
gelatin from untreated collagen from Mammuthus columbi bone,4,
Glossotherium harlani bone,6,
Glossotherium harlani bone amino acid,5,
Glossotherium harlani bone apatite/carbonate,6,
graminoid stems,2,
"graminoid, terr. plant frags",3,between graminoid (2) and terr. plant fragments (3)
Grass or sedge stem,2,
Grass spikelets,2,
gray silt,5,
gray silt and fine sand,5,
gray silty clay,5,
gray silty mud,5,
gray-green silt,5,
greenish brown gyttja,5,
greenish gray silty gyttja,5,
greenish gyttja,5,
Grey clay mud.,5,
Grey detritus gyttja,5,
Grey silt,5,
Grey-brown silt,5,
Gymnogyps californianus bone,6,
Gymnosperm wood,5,
gyttja,5,
Gyttja,5,
Gyttja - clay gyttja,5,
Gyttja - Equisetum,5,
gyttja (2nd core),5,
Gyttja and Carex peat,5,
Gyttja and clay,5,
Gyttja and detritus.,5,
Gyttja clay,5,
"Gyttja clay, silt",5,
Gyttja clayey silt,5,
Gyttja with calc,5,
gyttja with clay,5,
Gyttja with diatoms,5,
gyttja with marl banding,5,
Gyttja with plant remains,5,
gyttja with Vivianite,5,
"gyttja, course plant fragments",5,
"gyttja, silt",5,
"gyttja, wood, charcoal",5,
gyttja/clay transition,5,
gyttja/moss,5,
gyttja/silt,5,
gyttja/silt-clay,5,
gyttya,5,
hearth,5,uncertain material; assigned 5 as default
herb peat,5,
herbaceous detritus gyttja,5,
herbaceous peat,5,
Highly humified Sphagnum peat,5,
Homo sapiens bone,6,
Homo sapiens bone amino acid,5,
Homo sapiens bone apatite/carbonate,6,
Homo sapiens bone collagen,5,
Homo sapiens dung,2,
horn sheath,6,
humates,5,uncertain rank; assigned 5 as default
humic acid,5,uncertain material; assigned 5 as default
Humic acid extract,5,
Humic acids,5,uncertain material; assigned 5 as default
humic acids,5,uncertain material; assigned 5 as default
humic acids from paleosols,5,
humic gyttja,5,
Humic-amorphous peats,5,
Humic-fibrous peats,5,
Humic-organic muds,5,
Humic-silty clay,5,
Humidic acids from peat,5,
Humidic acids from the peat,5,
humified copropel,5,
humified peat,5,
Humified peat,5,
"humified peat, becoming muddy",5,
humified sphagnum peat,5,
humified Sphagnum peat,5,
Humin-amorphous peats,5,
Humin-fibrous peats,5,
Humin-organic muds,5,
Humin-silty clay,5,
humins,5,uncertain material; assigned 5 as default
Humus,5,
Humus peat,5,
Hydromorphic soils,5,
Hygrohypnum spp.,6,
Immature conifer strobilus,2,
in situ wood fragment,5,
inorganic clay,5,
inorganic fraction bulk sed.,5,
inorganic lake sediment,5,
insect parts,2,
"insects, probably aquatic",3,penalized one rank because 'probably aquatic'
"Insects, wood fragments",4,"weighted towards wood (between 2=insects, 5=wood)"
insol. fraction bulk sediment,5,
invertebrate egg cases,5,uncertain about hardwater contamination?
Ivory,6,
Jatropha seeds,2,
Juniperus twig,2,
lacustrine bulk sediment,5,
Lacustrine lime,5,
Lacustrine lime- CO3 fraction,5,
lacustrine silt,5,
Lake deposit,5,
lake mud,5,
Lake mud,5,
Lake sediment,5,
lake sediment,5,
Laminated clayey gyttja,5,
laminated gyttja,5,
laminated marl and gyttja,5,
laminated sediments,5,
laminated silty gyttja,5,
Larch needle + blackened organic fragments,3,"Penalized one rank for ""blackened organic fragments"""
"Larix and Picea needle fragments,  Picea seed wing fragment",2,
"Larix and Picea needle fragments, Picea seed wing fragment",2,
Larix cone,2,
"Larix leaf, charcoal",4,"weighted towards charcoal (between 2=leaf, 5=charcoal)"
"Larix leaf,charcoal,unid leaf",4,"weighted towards charcoal (between 2=leaf, 5=charcoal)"
Larix leaves,2,
"Larix leaves, twig",2,
"Larix lf, Betula or Alnus seed",2,
Larix lf;semiwoody;plant frags,3,"weighted towards wood (between 2=leaf, 3=plant matter/fragments/material/litter/detritus, 4=semi-woody)"
Larix needle,2,
"Larix needle fragments,  Picea seed wing ",2,
"Larix needle fragments, Picea seed wing",2,
"Larix needle, moss, insects",4,"weighted towards mosses (between 2=needle, 6=mosses)"
"Larix needle, unident seed",2,
Larix needle; unid leaf frags,2,
Larix needle;unid.terr.plants,3,"Penalized one rank for ""unid.terr.plants"""
Larix needles,2,
"Larix needles, Betula papyrifera seed and fruit scale",2,
"Larix needles, charred scales",2,
"Larix needles, Picea seed wing",2,
Larix needles; Betula papyrifera seed and fruit scale,2,
Larix needles; Picea seed wing,2,                                     
Larix needles; wood fragment,4,"weighted towards wood (between 2=needle, 5=wood)"
Larix root,3,
"Larix seed, Picea seed, Larix needles",2,
Larix twig,2,
Larix twig/cone,2,
Larix wood,5,
Larix wood pieces,5,
Larix; unident. plant material,3,
late glacial clay,5,
late glacial clay,5,
Lateral bud + 13 deciduous leaf fragments,2,
"Ld2, Ag2, Ga+, Dh+, Dg+",5,
"Ld2, Dg2, Dh+",5,
"Ld2, Dg2, Dh+, Ag+",5,
"Ld2, Dh1, Dg1",5,
"Ld2, Ga2, Dg+, Dh+",5,
"Ld2, Lc1, Ag1, Ga+, Dg+",5,
"Ld2, Lso2, Dg+, Dh+, Ag+, Ga+",5,
"Ld3, Ag1, Ga+, Dh+, Dg+",5,
"Ld3, Dg1, Dh+",5,
"Ld3, Dg1, Dh+, Ga+",5,
"Ld3, Dh1, Dg+",5,
"Ld3, Ga1, Ag+",5,
"Ld3, Ga1, Dg+, Ag+",5,
"Ld4, Ag+, Dh+, Dg+",5,
"Ld4, Dh+, Dg+",5,
Leaf,2,
leaf,2,
Leaf and bark,3,"Weighted towards bark (between 2=leaf, 3=bark)"
leaf and twig fragments,2,
Leaf fragments,2,
Leaves of Dryas octopetala,2,
Lepidoptera mandibles,2,
Lepus americanus bone,6,
light brown organic silt,5,
light brown peat,5,
light-brown sandy silt,5,
Lime mud,5,
Limestone,5,
limnic peat,5,
Loam,5,
Loamy sand,5,
Loch sediment,5,
log (Abies),5,
log (Picea),5,
loose fibrous organic debris,5,no information on which part
macrofossil fragments,5,
Male cone,2,
Male cone/needles/wood,3,"weighted towards needles/cone (between 2=needles, 5=wood)"
Male cone/seeds,2,
mammoth bone collegen,5,
mammoth skin,2,
mammoth skin and muscle,2,
mammoth tusk,5,
mammoth tusk collegen,5,
Mammut americanum,6,
Mammut americanum bone,6,
Mammut americanum bone apatite/carbonate,6,
Mammut americanum bone collagen,5,
Mammut bone,6,
Mammuthus bone,6,
Mammuthus bone apatite/carbonate,6,
Mammuthus bone collagen,5,
Mammuthus columbi bone,6,
Mammuthus columbi bone apatite/carbonate,6,
Mammuthus columbi bone collagen,5,
Mammuthus columbi carbonate,6,
Mammuthus columbi XAD-resin-purified hydrolyzate from KOH-extracted gelatin,2,
Mammuthus dung,2,
Mammuthus exilis bone,6,
Mammuthus exilis bone collagen,5,
Mammuthus imperator bone collagen,5,
Mammuthus jeffersonii bone,6,
Mammuthus jeffersonii tooth enamel,5,
Mammuthus tooth enamel,5,
marine mollusc shells,6,
Marine shell fragments in sand,6,
marl,5,
Marl,5,
marl and detritus,5,
marl carbonate fraction,5,
marl CO3,5,
Marl mixed with some peat,5,
Marl with moss,6,
Marl with organic matter,5,
marly copropel,5,
marly detritus gyttja,5,
marly gyttja,5,
Marly organic mud,5,
Marly peat,5,
Marly sediment,5,
marly sediment,5,
"marly, organic gyttja",5,
"marly, silty gyttja",5,
Marmota flaviventris bone collagen,5,
marsh sediments,5,
matrix,5,
medium-detritus gyttja,5,
Megalonyx bone,6,
Micro mud,5,
Microtus bone amino acid,5,
Microtus bone collagen,5,
Microtus ochrogaster bone,6,
Midden debris,5,material not specified
Milodon faeces,2,
mixed gastropod shell,6,
Mixed plant material,3,
Mixed wood and bark,4,"weighted between wood=5, bark=3"
mod. humified fibrous peat,5,
mollusc shell,6,
Mollusc shell,6,
mollusc shells,6,
molluscs,6,
Mollusk,6,
mollusk shell,6,
Monocot frags,2,probably not aquatic?
moss,6,
moss fragments,6,
moss fragments P. wahlenbergii,6,
"moss fragments; leaf, stem",4,
moss in clay,6,
moss leaves; Betula seed,4,
Moss peat,5,
"moss pieces, plant remains",4,between plant remains (3) and moss (5)
moss stems,6,
moss stems and leaves,6,
moss-rich organic silt,6,
"moss, possibly aquatic",6,
Mosses,6,
Mosses and organic matter,6,
Mosses-total fraction,6,
mud,5,
Mud,5,
Mud and silt,5,
Muddy peat,5,
Muddy sapropel,5,
Muddy silty clay,5,
Mulinia lateralis,6,
muscle,2,
muscle and skin of mammoth,2,
Mushroom,2,
NA,6,no information
NaOH insoluble,5,
NaOH insoluble algal gyttja,5,
NaOH soluble,5,
NaOH soluble algal gyttja,5,
NaOH soluble peaty/sandy layer,5,
NaOH soluble portion,5,uncertain material; assigned 5 as default
NaOH-insoluble fraction,5,
NaOH-soluble fraction,5,
NaOH-soluble fraction-sediment,5,
needle fragment,2,
Needles,2,
"Needles, cone scale, catkin",2,
"Needles, wood, seeds, leaves",3,"weighted towards needles/seeds/leaves (between 2=seed, 5=wood)"
Needles; wood; seeds; leaves,3,"weighted towards needles/seeds (between 2=seed, 5=wood)"
Needles/seeds/wood,3,"weighted towards needles/seeds (between 2=seed, 5=wood)"
Needles/wood,4,"weighted towards wood (between 2=needle, 5=wood)"
Neotoma cinerea dung,2,
Neotoma dung,2,
Neotoma floridana bone amino acid,5,
Neotoma pellets,2,
Nothrotheriops dung,2,
Nothrotheriops shastense bone collagen,5,
Nothrotheriops shastense dung,2,
Nymphaea seeds,2,
Oak leaf fragments,2,
Ochotona princeps dung,2,
Odocoileus  antler,6,
Odocoileus bone,6,
Odocoileus dung,2,
Odocoileus virginianus bone,6,
olive-gray gyttja,5,
olive-gray marl-gyttja,5,
Oreamnos harringtoni,6,
Oreamnos harringtoni dung,2,
Oreamnos harringtoni horn sheath,6,
Org.mat in sand,5,
Org.mat.in salty sand,5,
Org.mat.in salty silt,5,
Org.material in salty sand,5,
Org.material in salty silt,5,
Org.material in sand,5,
organic,5,
organic bulk date,5,
Organic carbon fraction.,5,
organic clay,5,
Organic clay,5,
organic clay gyttja,5,
Organic copropel,5,
Organic detrit,5,
organic detritus,5,
organic fine sand,5,
organic fine sandy silt,5,
organic fraction,5,
Organic fraction,5,
Organic fraction of marly sed,5,
"organic fraction, bulk sed.",5,
organic gyttja,5,
organic lake sediment,5,
Organic lake sediment,5,
organic loamy clay,5,
organic marl,5,
Organic material,5,
organic material in black clay layer,5,
organic matter,5,
organic micaceous silt,5,
organic mud,5,
Organic mud,5,
Organic mud w/ sand,5,
"Organic mud, humic acid treatment",5,
organic rich moss layer,6,
organic sand,5,
Organic sand,5,
organic sediment,5,
Organic sediment,5,
Organic sediment inc.carbonate,5,
organic silt,5,
Organic silt,5,
organic silt and marl,5,
Organic silts,5,
organic silty clay,5,
organic silty clay and marl,5,
organic-clay gyttja,5,
Organic-rich sand,5,
organics,5,
organics in clay,5,
ostracod rich gyttja,5,
ostracodes,5,uncertain shell chemistry?
Ovis bone,6,
Ovis canadensis dung,2,
Ovis canadensis horn sheath,6,
Ovis horn sheath,6,
Oyster,6,
Particulate matter,5,
Particulate matter (1),5,
Particulate matter (2),5,
Particulate matter (3),5,
Particulate matter <250 micron,5,
Particulate matter >250 micron,5,
"partly decayed, uncarb. wood",5,
peat,5,
Peat,5,
PEAT,5,
peat (adjacent to log),5,
peat (adjacent to wood),5,
peat and gyttja,5,
peat and wood,5,
Peat fibers,5,
Peat material,5,
Peat Material,5,
Peat materials,5,
Peat moderately decayed,5,
Peat slightly decayed,5,
Peat slightly decayed and wood,5,
"Peat with clay, Alnus fragments",5,
Peat with mollusc shells,5,weighted towards peat
Peat with Phragmites rhizomes,5,
peat with Picea needles,4,weighted towards peat (between Picea needles (2) and peat (5))
Peat with shell remains,5,weighted towards peat
peat with silt,5,
peat with wood,5,
Peat with Wood,5,
peat with wood remains,5,
"peat, decomposed",5,
"Peat, herbacea, Alnus fragments",5,
"PEAT, WOOD",5,
Peat/gyttya,5,
peat/sand,5,
peat/sediment,5,
Peat/silt-peat transition,5,
Peatty gyttja,5,
Peaty chalk,5,
Peaty chalk with shells,5,
peaty detritus gyttja,5,
peaty detritus mud,5,
peaty gyttja,5,
Peaty gyttja,5,
peaty gyttya,5,
peaty organics,5,
Peaty sand,5,
peaty sands,5,
Peaty sapropel,5,
peaty silt,5,
Peaty silt,5,
Peaty silt with mollusc shells,5,weighted towards silt
peaty/gyttja,5,
Phragmites Carex peat,5,
Phragmites peat/peaty gyttja,5,
Picea  plant matter,4,"Weighted towards Picea (between 3=plant matter/fragments/material, 5=wood)"
Picea  wood,5,
Picea and Larix needle fragments,2,
"Picea and Larix needle fragments, 3 Picea seed wings",2,
"Picea and Larix needle fragments, Picea seed wing",2,
Picea charcoal,5,
Picea cone,2,
Picea cones,2,
"Picea frags, Cyperaceae seeds",2,
Picea glauca cones,2,
Picea macrofossils,5,no information on which part
picea mariana needles and twig,2,
Picea needle,2,
Picea needle and seed,2,
Picea needle fragments ,2,
"Picea needle fragments, Picea seed wing, Larix needle fragment",2,
"Picea needle, 2 Betula seeds, Larix needle, Picea seed wing",2,
"Picea needle, Picea seed wing ",2,
Picea needle; 2 Betula seeds; Larix needle; Picea seed wing,2,
Picea needles,2,
