id,pub.type,year,citation,chron,dsid
8089,Journal Article,1997,"Yu, Z.C. 1997. Late Quaternary paleoecology of Thuja and Juniperus (Cupressaceae) at Crawford Lake, Ontario, Canada: pollen, stomata, and macrofossils. Review of Palaeobotany and Palynology 96:241-254.",Calibrated radiocarbon years BP,16124
15737,Master's Thesis,1973,"Boyko, M. 1973. European impact on the vegetation around Crawford Lake in southern Ontario. Master's thesis. University of Toronto, Toronto, Ontario, Canada.",Varve years BP,520
357,Journal Article,1983,"Steventon, R.L., and J.E. Kutzbach. 1983. University of Wisconsin radiocarbon dates XX. Radiocarbon 25(1):152-168. [DOI: 10.1017/S0033822200005348]",Radiocarbon years BP,524
524,Legacy,1994,"Reasoner, M.A., G. Osborn, and N.W. Rutter. 1994. Age of the Crowfoot advance in the Canadian Rocky Mountains: A glacial event coeval with the Younger Dryas Oscillation. Geology 22:439-442.",Calibrated radiocarbon years BP,525
277,Legacy,1984,"Julig, P.J. 1984. Cummins paleo-indian site and its paleoenvironment, Thunder Bay, Canada. Archaeology of Eastern North America 12:192-209.",Radiocarbon years BP,538
74,Authored Book,1973,"Mott, R.J. 1973. Palynological studies in central Saskatchewan: pollen stratigraphy from lake sediment sequences. Paper 72-49. Geological Survey of Canada, Ottawa, Ontario, Canada.",Calibrated radiocarbon years BP,17292
101,Legacy,1982,"Richard, P.J.H., A.C. Larouche, and M.A. Bouchard. 1982. Age de la déglaciation finale et histoire postglaciaire de la végétation dans la partie centrale du Nouveau-Québec. Géographie physique et Quaternaire 36:63-90.",Calendar years BP,549
658,Legacy,1991,"Szeicz, J.M., and G.M. MacDonald. 1991. Postglacial vegetation history of oak savanna in southern Ontario. Canadian Journal of Botany 69:1507-1519.",Radiocarbon years BP,672
101,Legacy,1982,"Richard, P.J.H., A.C. Larouche, and M.A. Bouchard. 1982. Age de la déglaciation finale et histoire postglaciaire de la végétation dans la partie centrale du Nouveau-Québec. Géographie physique et Quaternaire 36:63-90.",Radiocarbon years BP,675
101,Legacy,1982,"Richard, P.J.H., A.C. Larouche, and M.A. Bouchard. 1982. Age de la déglaciation finale et histoire postglaciaire de la végétation dans la partie centrale du Nouveau-Québec. Géographie physique et Quaternaire 36:63-90.",Calendar years BP,677
190,Legacy,1984,"MacDonald, G.M. 1984. Postglacial plant migration and vegetation development in the western Canadian boreal forest. Dissertation. University of Toronto, Toronto, Ontario, Canada.",Radiocarbon years BP,678
441,Legacy,1974,"Lichti-Federovich, S. 1974. Pollen analysis of surface snow from the Devon Island ice cap. Geological Survey of Canada, Paper 74-1, Part A. pp.197-199.",Radiocarbon years BP,685
212,Legacy,1981,"Richard, P.J.H. 1981. Paléophytogéographie postglaciaire en Ungava par l'analyse pollinique. Collection Paléo-Québec, no. 13, 154 pages.",Radiocarbon years BP,688
232,Legacy,1989,"Richard, P.J.H., and C. Labelle. 1989. Histoire postglaciaire de la végétation au lac du Diable, mont Albert, Gaspésie, Québec. Géographie physique et Quaternaire 43:337-354.",Radiocarbon years BP,691
211,Legacy,1973,"Richard, P.J.H. 1973. Histoire postglaciaire comparée de la végétation dans deux localités au sud de la ville de Québec. Le Naturaliste canadien 100:591-603.",Radiocarbon years BP,722
99,Journal Article,1977,"Mott, R.J. 1977. Late-Pleistocene and Holocene palynology in southeastern Québec. Géographie physique et Quaternaire 31(1-2):139-149. [DOI: 10.7202/1000060ar]",Radiocarbon years BP,773
118,Legacy,1978,"Lamb, H.F. 1978. Post-glacial vegetation change in southeastern Labrador. Thesis. University of Minnesota, Minneapolis, Minnesota, USA.",Radiocarbon years BP,777
203,Legacy,1986,"Vance, R.E. 1986. Pollen stratigraphy of Eaglenest Lake, northeastern Alberta. Canadian Journal of Earth Sciences 23:11-20.",Radiocarbon years BP,778
578,Legacy,1968,"Lowdon, J.A., and W. Blake, Jr. 1968. Geological Survey of Canada radiocarbon dates VII. Radiocarbon 10:207-245.",Radiocarbon years BP,782
139,Book Chapter,1981,"McAndrews, J.H. 1981. Late Quaternary climate of Ontario: temperature trends from the fossil pollen record. Pages 319-333 in W.C. Mahaney, editor. Quaternary paleoclimate. Geo Abstracts, Ltd., University of East Anglia, Norwich, United Kingdom.",Radiocarbon years BP,785
78,Journal Article,1964,"Ritchie, J.C. 1964. Contributions to the Holocene paleoecology of west central Canada. 1. The Riding Mountain area. Canadian Journal of Botany 42(2):181-196.",Calibrated radiocarbon years BP,3125
141,Legacy,1975,"Nichols, H. 1975. Palynological and paleoclimatic study of the late Quaternary displacements of the boreal forest-tundra ecotone in Keewatin and Mackenzie, N.W.T., Canada. Occasional Paper 15. Institute of Arctic and Alpine Research, University of Colorado, Boulder, Colorado, USA.",Calendar years BP,802
165,Legacy,1965,"Bender, M.M., R.A. Bryson, and D.A. Baerreis. 1965. University of Wisconsin radiocarbon dates I. Radiocarbon 7:399-407.",Radiocarbon years BP,803
461,Legacy,1989,"Lewis, C.F.M., and T.W. Anderson. 1989. Oscillations of levels and cool phases of the Laurentian Great Lakes caused by inflows from glacial Lakes Agassiz and Barlow-Ojibway. Journal of Paleolimnology 2:99-146.",Radiocarbon years BP,805
958,Legacy,2002,"Brown, K.J., and R.J. Hebda. 2002. Origin, development, and dynamics of coastal temperate conifer rainforests of southern Vancouver Island, Canada. Canadian Journal of Forest Research 32:353-372.",Calibrated radiocarbon years BP,808
148,Legacy,1981,"Labelle, C., and P.J.H. Richard. 1981. Végétation tardiglaciaire et postglaciaire au sud-est du Parc des Laurentides, Québec. Géographie physique et Quaternaire 35:345-359.",Radiocarbon years BP,810
713,Legacy,1981,"Kearney, M.S. 1981. Late Quaternary vegetational and environmental history of Jasper National Park, Alberta. Dissertation. University of Western Ontario, London, Ontario, Canada.",Radiocarbon years BP,815
212,Legacy,1981,"Richard, P.J.H. 1981. Paléophytogéographie postglaciaire en Ungava par l'analyse pollinique. Collection Paléo-Québec, no. 13, 154 pages.",Calendar years BP,820
960,Legacy,1982,"White, J.M., and R.W. Mathewes. 1982. Holocene vegetation and climatic change in the Peace River district, Canada. Canadian Journal of Earth Sciences 19:555-570.",Calibrated radiocarbon years BP,829
606,Journal Article,1994,"Short, S.K., J.T. Andrews, K.M. Williams, N.J. Weiner, and S.A. Elias. 1994. Late Quaternary marine and terrestrial environments, northwestern Baffin Island, Northwest Territories. Geographie physique et Quaternaire 48(1):85-95. [DOI: 10.7202/032974ar]",Radiocarbon years BP,832
630,Journal Article,1976,"Ritchie, J.C. 1976. The late-Quaternary vegetational history of the western interior of Canada. Canadian Journal of Botany 54(15):1793-1818. [DOI: 10.1139/b76-194]",Calibrated radiocarbon years BP,834
972,Legacy,1980,"Matthews, J.V., Jr. 1980. Paleoecology of John Klondike Bog, Fisherman Lake region, southwest district of Mackenzie. Geological Survey of Canada Paper 80-22..",Calibrated radiocarbon years BP,3149
140,Legacy,1982,"McAndrews, J.H. 1982. Holocene environment of a fossil bison from Kenora, Ontario. Ontario Archaeology 37:41-51..",Radiocarbon years BP,849
288,Legacy,1986,"McCarthy, F.M.G. 1986. Late Holocene water levels in Lake Ontario: evidence from Grenadier Pond. M.S. Thesis. University of Toronto, Toronto, Ontario, Canada.",Radiocarbon years BP,851
144,Legacy,1977,"Richard, P.J.H. 1977. Histoire post-wisconsinienne de la végétation du Québec méridional par l'analyse pollinique. Service de la recherche, Direction générale des forêts, Ministère des Terres et Forêts du Québec. Publications et rapports divers. Tome 1, xxiv + 312 p.; tome 2, 142 p.",Radiocarbon years BP,857
102,Legacy,1979,"Savoie, L., and P.J.H. Richard. 1979. Paléophytogéographie de l'épisode de Saint-Narcisse dans la région de Sainte-Agathe, Québec. Géographie physique et Quaternaire 33:175-188.",Radiocarbon years BP,871
137,Legacy,1968,"Livingstone, D.A. 1968. Some interstadial and postglacial pollen diagrams from eastern Canada. Ecological Monographs 38:87-125.",Radiocarbon years BP,874
129,Legacy,1968,"Ritchie, J.C., and S. Lichti-Federovich. 1968. Holocene pollen assemblages from the Tiger Hills, Manitoba. Canadian Journal of Earth Sciences 5:873-880.",Radiocarbon years BP,878
721,Legacy,1995,"Fuller, J.L. 1995. Holocene forest dynamics in Southern Ontario, Canada. Dissertation. University of Cambridge, Cambridge, U.K.",Radiocarbon years BP,973
77,Journal Article,1975,"Ritchie, J.C., and K. Hadden. 1975. Pollen stratigraphy of the Holocene sediments from the Grand Rapids area, Manitoba, Canada. Review of Palaeobotany and Palynology 19(3):193-202. [DOI: 10.1016/0034-6667(75)90040-8]",Radiocarbon years BP,974
145,Legacy,1979,"Kay, P.A. 1979. Multivariate statistical estimates of Holocene vegetation and climate change, forest-tundra transition zone, NWT, Canada. Quaternary Research 11:125-140.",Radiocarbon years BP,975
962,Doctoral Dissertation,1986,"King, G.A. 1986. Deglaciation and vegetation history of western Labrador and adjacent Québec. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",Calibrated radiocarbon years BP,976
544,Legacy,1982,"Lamb, H.F. 1982. Late Quaternary vegetational history of the forest-tundra ecotone in North-Central Labrador. Dissertation. University of Cambridge, Cambridge, England.",Radiocarbon years BP,978
288,Legacy,1986,"McCarthy, F.M.G. 1986. Late Holocene water levels in Lake Ontario: evidence from Grenadier Pond. M.S. Thesis. University of Toronto, Toronto, Ontario, Canada.",Radiocarbon years BP,986
943,Legacy,2002,"Evans, N.S. 2002. An Investigation of the Holocene Pollen Record from the Grey Islands, Newfoundland. Master's thesis. Memorial University of Newfoundland, St. John's, Newfoundland, Canada. 138 p.",Calibrated radiocarbon years BP,987
968,Legacy,1964,"de Vries, B. 1964. An investigation of a late-glacial deposit from the Missouri Coteau in Saskatchewan. M.Sc. thesis, University of Manitoba, Winnipeg, Manitoba, Canada. 88 pp.",Calibrated radiocarbon years BP,1000
754,Journal Article,1995,"Cwynar, L.C., and R.W. Spear. 1995. Paleovegetation and paleoclimatic changes in the Yukon at 6 ka BP. Géographie Physique et Quaternaire 49(1):29-35. [DOI: 10.7202/033027ar]",Radiocarbon years BP,1001
170,Legacy,1987,"Bennett, K.D. 1987. Holocene history of forest trees in southern Ontario. Canadian Journal of Botany 65:1792-1801.",Radiocarbon years BP,1002
569,Legacy,1980,"Cwynar, L.C. 1980. A Late-Quaternary vegetation history from Hanging Lake, northern Yukon. Dissertation. University of Toronto, Toronto, Ontario, Canada.",Radiocarbon years BP,1003
230,Legacy,1992,"Jetté, H., and P.J.H. Richard. 1992. Contribution à l'histoire postglaciaire de la végétation en Gaspésie méridionale, Québec. Géographie physique et Quaternaire 46:273-284.",Radiocarbon years BP,1007
962,Doctoral Dissertation,1986,"King, G.A. 1986. Deglaciation and vegetation history of western Labrador and adjacent Québec. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",Calibrated radiocarbon years BP,1008
65,Journal Article,1982,"Macpherson, J.B. 1982. Postglacial vegetational history of the eastern Avalon Peninsula, Newfoundland, and Holocene climatic change along the eastern Canadian seaboard. Géographie physique et Quaternaire 36(1-2):175-196. https://www.erudit.org/revue/gpq/1982/v36/n1-2/032476ar.html. [DOI: 10.7202/032476ar]",Radiocarbon years BP,1010
544,Legacy,1982,"Lamb, H.F. 1982. Late Quaternary vegetational history of the forest-tundra ecotone in North-Central Labrador. Dissertation. University of Cambridge, Cambridge, England.",Radiocarbon years BP,1028
213,Legacy,1979,"Comtois, P.G. 1979. Histoire holocène du climat et de la végétation à Lanoraie. Mémoire de M.Sc., département de Géographie, Université de Montréal, 322 pages.",Radiocarbon years BP,1033
544,Legacy,1982,"Lamb, H.F. 1982. Late Quaternary vegetational history of the forest-tundra ecotone in North-Central Labrador. Dissertation. University of Cambridge, Cambridge, England.",Radiocarbon years BP,3771
721,Legacy,1995,"Fuller, J.L. 1995. Holocene forest dynamics in Southern Ontario, Canada. Dissertation. University of Cambridge, Cambridge, U.K.",Radiocarbon years BP,1105
24,Journal Article,1991,"Cwynar, L.C., and R.W. Spear. 1991. Reversion of forest to tundra in the central Yukon. Ecology 72:202-212.",Radiocarbon years BP,1107
268,Legacy,1989,"Weninger, J.M., and J.H. McAndrews. 1989. Late Holocene aggradation in the lower Humber River valley, Toronto, Ontario. Canadian Journal of Earth Sciences 26:1842-1849.",Radiocarbon years BP,1135
268,Legacy,1989,"Weninger, J.M., and J.H. McAndrews. 1989. Late Holocene aggradation in the lower Humber River valley, Toronto, Ontario. Canadian Journal of Earth Sciences 26:1842-1849.",Radiocarbon years BP,1136
273,Legacy,1985,"Brookes, I.A., D.B. Scott, and J.H. McAndrews. 1985. Postglacial relative sea-level change, Port au Port area, west Newfoundland. Canadian Journal of Earth Sciences 22:1039-1047.",Radiocarbon years BP,1139
357,Journal Article,1983,"Steventon, R.L., and J.E. Kutzbach. 1983. University of Wisconsin radiocarbon dates XX. Radiocarbon 25(1):152-168. [DOI: 10.1017/S0033822200005348]",Radiocarbon years BP,1147
272,Legacy,1987,"Fritz, P., A.V. Morgan, U. Eicher, and J.H. McAndrews. 1987. Stable isotope, fossil coleoptera and pollen stratigraphy in late Quaternary sediments from Ontario and New York State. Palaeogeography, Palaeoclimatology, Palaeoecology 58:183-202..",Radiocarbon years BP,1149
64,Journal Article,1985,"Liu, K.-B., and N.S.-N. Lam. 1985. Paleovegetational reconstruction based on modern and fossil pollen data: an application of discriminant analysis. Annals of the Association of American Geographers 75(1):115-130. http://www.jstor.org/stable/2563179.",Radiocarbon years BP,1157
463,Legacy,1984,"McAndrews, J.H. 1984. January cave: palynology. Pages 46-49 in Quaternary Palynology, extant flora and quaternary geology south and west of Calgary. L.E. Jackson, Jr. editor, Sixth International Palynological Conference, Field Trip No. 1 guidebook, Calgary, September, 1984.",Radiocarbon years BP,1170
221,Legacy,1971,"Richard, P.J.H. 1971. Two pollens diagrams from the Québec city area, Canada. Pollen et Spores 13:523-559.",Radiocarbon years BP,1254
8208,Journal Article,1997,"McAndrews, J.H. 1997. Pollen, climate, a comet, and mastodon extinction. Canadian Association of Palynologists Newsletter 31(2):7-8.",Calibrated radiocarbon years BP,17672
464,Legacy,1992,"Anderson, T.W., and C.F.M. Lewis. 1992. Climatic inferences of deglacial drainage changes in southern Canada at 10 to 8 ka suggested by pollen evidence. Geographie Physique et Quaternaire 46:255-272.",Radiocarbon years BP,1391
144,Legacy,1977,"Richard, P.J.H. 1977. Histoire post-wisconsinienne de la végétation du Québec méridional par l'analyse pollinique. Service de la recherche, Direction générale des forêts, Ministère des Terres et Forêts du Québec. Publications et rapports divers. Tome 1, xxiv + 312 p.; tome 2, 142 p.",Radiocarbon years BP,1393
213,Legacy,1979,"Comtois, P.G. 1979. Histoire holocène du climat et de la végétation à Lanoraie. Mémoire de M.Sc., département de Géographie, Université de Montréal, 322 pages.",Radiocarbon years BP,1397
100,Journal Article,1979,"Richard, P.J.H. 1979. Contribution à l'histoire postglaciaire de la végétation au nord-est de la Jamésie, Nouveau-Québec. Géographie physique et Quaternaire 33(1):93-112. [DOI: 10.7202/1000324ar]",Radiocarbon years BP,1437
657,Legacy,1995,"Szeicz, J.M., G.M. MacDonald, and A. Duk-Rodkin. 1995. Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada. Palaeogeography, Palaeoclimatology, Palaeoecology 113:351-371.",Radiocarbon years BP,1445
333,Legacy,1983,"Blake, W., Jr. 1983. Geological Survey of Canada radiocarbon dates XXIII. Geological Survey of Canada Paper 83-7:5..",Radiocarbon years BP,1450
215,Legacy,1973,"Richard, P.J.H. 1973. Histoire postglaciaire comparée de la végétation dans deux localités au nord du Parc des Laurentides, Québec. Naturaliste Canadien 100:577-590.",Radiocarbon years BP,1451
687,Legacy,1992,"Porter, S.C., and M.A. Sauchyn. 1992. Moose Mountain Palynology Study: Final Report. Unpublished. Prepared for Terrestrial and Aquatic Environmental Managers Ltd. Melville, Saskatchewan, Canada.",Radiocarbon years BP,1452
233,Legacy,1986,"Dinel, H., P.J.H. Richard, P.E.M. Levésque, and A.C. Larouche. 1986. Origine et évolution du marais tourbeux de Keswick, Ontario, par l'analyse pollinique et macrofossile. Canadian Journal of Earth Sciences 23:1145-1155.",Radiocarbon years BP,3454
99,Journal Article,1977,"Mott, R.J. 1977. Late-Pleistocene and Holocene palynology in southeastern Québec. Géographie physique et Quaternaire 31(1-2):139-149. [DOI: 10.7202/1000060ar]",Radiocarbon years BP,1569
44,Master's Thesis,1981,"Stravers, L.K.S. 1981. Palynology and deglaciation history of the central Labrador-Ungava Peninsula. Master's thesis. University of Colorado, Boulder, Colorado, USA.",Radiocarbon years BP,1570
86,Journal Article,1973,"Vincent, J.-S. 1973. A palynological study for the Little Clay Belt, northwestern Québec. Naturaliste Canadien 100:59-70.",Radiocarbon years BP,1571
491,Journal Article,1993,"Mayle, F.E., A.J. Levesque, and L.C. Cwynar. 1993. Accelerator-Mass-Spectrometer ages for the Younger Dryas event in Atlantic Canada. Quaternary Research 39(3):355-360. [DOI: 10.1006/qres.1993.1042]",Radiocarbon years BP,1572
74,Authored Book,1973,"Mott, R.J. 1973. Palynological studies in central Saskatchewan: pollen stratigraphy from lake sediment sequences. Paper 72-49. Geological Survey of Canada, Ottawa, Ontario, Canada.",Radiocarbon years BP,1583
74,Authored Book,1973,"Mott, R.J. 1973. Palynological studies in central Saskatchewan: pollen stratigraphy from lake sediment sequences. Paper 72-49. Geological Survey of Canada, Ottawa, Ontario, Canada.",Radiocarbon years BP,1586
251,Journal Article,1991,"Gajewski, K. 1991. Représentation pollinique actuelle à la limite des arbres au Nouveau-Québec. Canadian Journal of Earth Sciences 28(4):643-648. [DOI: 10.1139/e91-055]",Calibrated radiocarbon years BP,1587
228,Legacy,1991,"Garralla, S. 1991. L'analyse pollinique des sédiments d'un lac de la région de Chibougamau, Québec. M.Sc. Thesis. Université Laval, Sainte-Foy, Québec, Canada.",Radiocarbon years BP,1590
250,Legacy,1993,"Gajewski, K., S. Payette, and J.C. Ritchie. 1993. Holocene vegetation history at the boreal-forest -- shrub-tundra transition in north-western Québec. Journal of Ecology 81: 433-443.",Radiocarbon years BP,1591
251,Journal Article,1991,"Gajewski, K. 1991. Représentation pollinique actuelle à la limite des arbres au Nouveau-Québec. Canadian Journal of Earth Sciences 28(4):643-648. [DOI: 10.1139/e91-055]",Calibrated radiocarbon years BP,1592
251,Journal Article,1991,"Gajewski, K. 1991. Représentation pollinique actuelle à la limite des arbres au Nouveau-Québec. Canadian Journal of Earth Sciences 28(4):643-648. [DOI: 10.1139/e91-055]",Calibrated radiocarbon years BP,1594
