handle,dataset.id,curve.fit,note
HORSE,1109,1,
HOSTAGE,1111,1,
HUGLAKE,1134,1,
HUSTLER,1138,1,ugly plot
IRVIN,1153,1,
IRWINSMT,13047,1,Awesome job with the 14C!
JACOBSN2,3138,1,
KEGAN,1446,1,
KELLHOL2,3452,1,
KELLNERS,1448,1,"Missing that last age, but okay."
KIRCHNR1,1520,1,
KIRCHNR2,3455,1,
KITCHNER,1524,1,
KOTIRANT,1548,1,
KRYZ,1552,1,
LAKE27,1581,1,
LAKEANN,1584,1,
LAKEANNF,3468,1,
LAKECARL,1588,1,
LEWISLK,1629,1,
LITTBASS,1639,1,
LKCLDSH,3482,1,"Awesome RC, but no identified pre-sett - Should be removed, should hav e no hiatus"
LONE,CLH5,1,
LOSTLAKE,1665,1,
LYBECK,12014,1,
MARTINPD,1708,1,
MCCRANEY,1720,1,
MINNIEN,1757,1,
MINNIEO,3492,1,
MNGRCL,515,1,
MNLYC2,12005,1,
MONSON,12006,1,
MUDDLMN,12013,1,
MUDLKMN1,1777,1,
MUDLKMN2,1778,1,
MURPHY,1781,1,
MYRTLE,1786,1,
OAKGLEN,13056,1,
OCHEDA,10971,1,
OLSONMN,10977,1,
ONAMIA,1830,1,
ONDRISPD,1831,1,
PENNINGT,1884,1,
PERCHMN,12009,1,
PETERSL,1891,1,
PGONIABG,3541,1,
PLEASAMN,1955,1,
PORTAGE,1966,1,
RACHEL,12011,1,
RADTKE,2011,1,
REICHOW,2051,1,
RHOLL,2062,1,
RICEMNB,3568,1,"No pre-sett date, no one could assign it."
RNDGROVE,10983,1,
RUTZLAKE,2314,1,
SEDIVY,2354,1,
SEIDEL02,3620,1,
SHAGAWA,2375,1,
SHARKEY,13029,1,
SILVERMN,2383,1,
SISEEBA,2394,1,
SOLUM,2581,1,
SOSTANCH,2584,1,
SOUHERON,10970,1,
SPECTACL,2585,1,
SPIRIT,2586,1,
STCATHER,2600,1,
STONE,2605,1,
SUNFISH,2613,1,
TAMARACK,2624,1,
TERHELL,2638,1,
THOMPSON,2640,1,
THRDBGW,3788,1,
TOENJES,2648,1,
TWINMN1,2881,1,
UNION,12015,1,
UPGRAVEN,2888,1,
VESTABRG,3831,1,
WARNER,CLH6,1,
WEBERLK,3837,1,
WENTZEL,2948,1,
WHITLIL1,2952,1,
WINTERGR,2961,1,
WOLSFELD,3031,1,
WOODLAKE,3035,1,
YELLOWDG,3047,1,
ZIEBELL,12012,1,
BASSK,14270,,
BROWNLK,313,,
CAMP11LK,332,,
DARKLAKE,546,,
DISTER59,700,,
GLIMML1,13097,,
IOLABOG,1151,,
LASTLAKE,12004,,
LITTLPIN,1643,,
LKCLDSSW,3483,,
MABEL,1685,,
MNFRAL,12016,,
MNSHBL,15274,,
RICEMNA,2066,,
RUBYLAKE,2309,,
STONTAM1,2607,,
STONTAM2,3780,,
THIRDLK,3784,,
THRDBGN,3786,,
WESTOLAF,13051,,
