"datasetID","chronologyID","site","type","age","age.sd","depth","thick","agemodel"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1120,4,1120,1.48,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1140,4,1140,1.71,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1160,4,1160,1.61,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1180,4,1180,1.48,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1200,4,1200,1.19,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1220,4,1220,1.37,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1240,4,1240,1.89,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1260,4,1260,1.64,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1280,4,1280,1.57,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1300,4,1300,1.7,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1320,4,1320,1.66,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1360,4,1360,1.24,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1400,4,1400,1.67,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1440,4,1440,1.66,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1480,4,1480,1.7,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1520,4,1520,2.06,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1560,4,1560,1.37,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1600,4,1600,1.61,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1640,4,1640,1.69,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1680,4,1680,1.2,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1720,4,1720,1.44,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1760,4,1760,2.06,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1800,4,1800,1.6,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1840,4,1840,1.08,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1880,4,1880,1.44,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1920,4,1920,1.78,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1960,4,1960,1.43,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",2000,4,2000,1.42,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",2040,4,2040,1.36,"linear interpolation"
3473,1424,"Lake Mary","Core top",200,50,0,NA,"linear interpolation"
3473,1424,"Lake Mary","Radiocarbon",3650,65,50,8.5,"linear interpolation"
3473,1424,"Lake Mary","Radiocarbon",8540,90,141,7.5,"linear interpolation"
3473,1424,"Lake Mary","Radiocarbon",9460,100,193.5,15,"linear interpolation"
202,30,"Anderson Lake","Radiocarbon, average of two or more dates",10350,280,842.5,10,"linear interpolation"
202,30,"Anderson Lake","Radiocarbon",10800,300,977.5,25,"linear interpolation"
204,32,"Andree Bog","Biostratigraphic, pollen",10000,300,510,10,"linear interpolation (+ extrapolation)"
204,32,"Andree Bog","Radiocarbon, average of two or more dates",11200,500,609,2,"linear interpolation (+ extrapolation)"
205,33,"Andrus Lake","Lead-210",-33,0,0.2,0.5,"linear interpolation"
205,33,"Andrus Lake","Lead-210",-22,0,3.25,0.5,"linear interpolation"
205,33,"Andrus Lake","Lead-210",-5,0,6.25,0.5,"linear interpolation"
205,33,"Andrus Lake","Lead-210",28,0,10.25,0.5,"linear interpolation"
205,33,"Andrus Lake","Lead-210",32,0,10.75,0.5,"linear interpolation"
205,33,"Andrus Lake","Lead-210",35,0,11.2,0.5,"linear interpolation"
205,33,"Andrus Lake","Lead-210",38,0,11.75,0.5,"linear interpolation"
205,33,"Andrus Lake","Lead-210",40,0,12.25,0.5,"linear interpolation"
205,33,"Andrus Lake","Lead-210",51,0,15.25,0.5,"linear interpolation"
205,33,"Andrus Lake","Lead-210",54,0,16.75,0.5,"linear interpolation"
205,33,"Andrus Lake","Lead-210",58,0,18.25,0.5,"linear interpolation"
205,33,"Andrus Lake","Lead-210",84,0,25.25,0.5,"linear interpolation"
223,54,"Bad Medicine Lake","Core top",-15,15,0,NA,"linear interpolation"
223,54,"Bad Medicine Lake","Biostratigraphic, pollen",70,30,15,10,"linear interpolation"
241,76,"Black Bass Lake","Core top",-15,15,0,NA,"linear interpolation"
241,76,"Black Bass Lake","Biostratigraphic, pollen",70,30,5.5,9,"linear interpolation"
249,81,"Beckman Lake","Core top",0,25,53,NA,"linear interpolation (+ extrapolation)"
249,81,"Beckman Lake","Biostratigraphic, pollen",100,50,90,14,"linear interpolation (+ extrapolation)"
249,81,"Beckman Lake","Biostratigraphic, pollen",4410,500,237.5,25,"linear interpolation (+ extrapolation)"
249,81,"Beckman Lake","Biostratigraphic, pollen",9200,300,680,100,"linear interpolation (+ extrapolation)"
249,81,"Beckman Lake","Biostratigraphic, pollen",10150,300,749,38,"linear interpolation (+ extrapolation)"
3062,1384,"Beckman Lake","Core top",-29,20,0,NA,"linear interpolation (+ extrapolation)"
3062,1384,"Beckman Lake","Biostratigraphic, pollen",95,25,32.5,5,"linear interpolation (+ extrapolation)"
272,103,"Big John Pond","Core top",-31,31,0,NA,"linear interpolation"
272,103,"Big John Pond","Biostratigraphic, pollen",70,20,17.5,5,"linear interpolation"
272,103,"Big John Pond","Radiocarbon, reservoir correction",1320,160,62.5,5,"linear interpolation"
272,103,"Big John Pond","Radiocarbon, reservoir correction",3310,160,130,10,"linear interpolation"
275,106,"Billy's Lake","Core top",-24,20,180,NA,"linear interpolation"
275,106,"Billy's Lake","Radiocarbon, reservoir correction",100,110,225,10,"linear interpolation"
275,106,"Billy's Lake","Radiocarbon, reservoir correction",1110,110,300,10,"linear interpolation"
275,106,"Billy's Lake","Radiocarbon, reservoir correction",2070,140,405,10,"linear interpolation"
275,106,"Billy's Lake","Radiocarbon, reservoir correction",3700,140,605,10,"linear interpolation"
275,106,"Billy's Lake","Radiocarbon, reservoir correction",5980,160,805,10,"linear interpolation"
275,106,"Billy's Lake","Radiocarbon, reservoir correction",9760,200,1005,10,"linear interpolation"
280,112,"Blandin Pond","Core top",-32,20,0,NA,"linear interpolation"
280,112,"Blandin Pond","Biostratigraphic, pollen",100,50,31,20,"linear interpolation"
282,114,"Blackhoof Site","Biostratigraphic, pollen",10000,500,80,NA,"linear interpolation"
282,114,"Blackhoof Site","Radiocarbon",10630,1000,135.5,3,"linear interpolation"
287,119,"Blue Mounds Creek","Core top",0,20,0,NA,"linear interpolation"
287,119,"Blue Mounds Creek","Biostratigraphic, pollen",100,50,10,NA,"linear interpolation"
287,119,"Blue Mounds Creek","Radiocarbon",4235,65,87,NA,"linear interpolation"
287,119,"Blue Mounds Creek","Radiocarbon",7335,80,207,NA,"linear interpolation"
287,119,"Blue Mounds Creek","Radiocarbon",9580,95,266,NA,"linear interpolation"
287,119,"Blue Mounds Creek","Radiocarbon",10485,100,316,NA,"linear interpolation"
296,122,"Bob Lake","Core top",-15,15,0,NA,"linear interpolation"
296,122,"Bob Lake","Biostratigraphic, pollen",70,30,15,10,"linear interpolation"
298,124,"Bog D Pond","Core top",-13,15,0,NA,"linear interpolation"
298,124,"Bog D Pond","Biostratigraphic, pollen",100,30,40,NA,"linear interpolation"
298,124,"Bog D Pond","Radiocarbon",2730,150,255,10,"linear interpolation"
298,124,"Bog D Pond","Radiocarbon",3930,200,416,6,"linear interpolation"
298,124,"Bog D Pond","Radiocarbon",8560,240,712,15,"linear interpolation"
298,124,"Bog D Pond","Biostratigraphic, pollen",10000,500,785,10,"linear interpolation"
305,132,"Bossuot Lake","Core top",-15,15,0,NA,"linear interpolation"
305,132,"Bossuot Lake","Biostratigraphic, pollen",100,10,55,10,"linear interpolation"
305,132,"Bossuot Lake","Biostratigraphic, pollen",300,100,85,10,"linear interpolation"
313,142,"Brown Lake","Lead-210",-32,0,0.2,0.5,"linear interpolation"
313,142,"Brown Lake","Lead-210",-31,0,1.2,0.5,"linear interpolation"
313,142,"Brown Lake","Lead-210",-27,0,2.75,0.5,"linear interpolation"
313,142,"Brown Lake","Lead-210",-18,0,5.25,0.5,"linear interpolation"
313,142,"Brown Lake","Lead-210",-11,0,6.75,0.5,"linear interpolation"
313,142,"Brown Lake","Lead-210",-5,0,7.75,0.5,"linear interpolation"
313,142,"Brown Lake","Lead-210",5,0,9.25,0.5,"linear interpolation"
313,142,"Brown Lake","Lead-210",20,0,11.25,0.5,"linear interpolation"
313,142,"Brown Lake","Lead-210",54,0,14.25,0.5,"linear interpolation"
313,142,"Brown Lake","Lead-210",66,0,15.25,0.5,"linear interpolation"
313,142,"Brown Lake","Lead-210",80,0,16.75,0.5,"linear interpolation"
314,143,"Brown's Bay, Lake Minnetonka","Lead-210",-29,2,6,6,"linear interpolation"
314,143,"Brown's Bay, Lake Minnetonka","Lead-210",-25,2,12,6,"linear interpolation"
314,143,"Brown's Bay, Lake Minnetonka","Lead-210",-20,2,18,6,"linear interpolation"
314,143,"Brown's Bay, Lake Minnetonka","Lead-210",-13,3,24,6,"linear interpolation"
314,143,"Brown's Bay, Lake Minnetonka","Lead-210",-5,4,30,6,"linear interpolation"
314,143,"Brown's Bay, Lake Minnetonka","Lead-210",4,5,36,6,"linear interpolation"
314,143,"Brown's Bay, Lake Minnetonka","Lead-210",19,9,42,6,"linear interpolation"
314,143,"Brown's Bay, Lake Minnetonka","Lead-210",34,14,48,6,"linear interpolation"
314,143,"Brown's Bay, Lake Minnetonka","Lead-210",55,27,54,6,"linear interpolation"
314,143,"Brown's Bay, Lake Minnetonka","Lead-210",88,75,60,6,"linear interpolation"
314,143,"Brown's Bay, Lake Minnetonka","Lead-210",125,243,66,6,"linear interpolation"
314,143,"Brown's Bay, Lake Minnetonka","Lead-210",158,666,72,6,"linear interpolation"
325,159,"Burntside Lake","Core top",-24,0,0,NA,"linear interpolation"
325,159,"Burntside Lake","Biostratigraphic, pollen",150,50,21,1,"linear interpolation"
332,170,"Camp 11 Lake","Core top",0,30,0,NA,"quadratic regression"
332,170,"Camp 11 Lake","Biostratigraphic, pollen",120,50,10,NA,"quadratic regression"
332,170,"Camp 11 Lake","Radiocarbon",1055,105,104,NA,"quadratic regression"
332,170,"Camp 11 Lake","Radiocarbon",1855,145,204,NA,"quadratic regression"
332,170,"Camp 11 Lake","Radiocarbon",2430,120,304,NA,"quadratic regression"
332,170,"Camp 11 Lake","Radiocarbon",2280,95,375,NA,"quadratic regression"
332,170,"Camp 11 Lake","Radiocarbon",3900,120,427,NA,"quadratic regression"
332,170,"Camp 11 Lake","Radiocarbon",3920,145,474,NA,"quadratic regression"
332,170,"Camp 11 Lake","Radiocarbon",5795,120,554,NA,"quadratic regression"
332,170,"Camp 11 Lake","Radiocarbon",7160,120,657,NA,"quadratic regression"
332,170,"Camp 11 Lake","Radiocarbon",8450,140,729,NA,"quadratic regression"
332,170,"Camp 11 Lake","Radiocarbon",8715,215,794,NA,"quadratic regression"
332,170,"Camp 11 Lake","Radiocarbon",10200,150,854,NA,"quadratic regression"
333,171,"Camp 12 Lake","Lead-210",-33,0,0.25,0.5,"linear interpolation"
333,171,"Camp 12 Lake","Lead-210",-28,0,1.25,0.5,"linear interpolation"
333,171,"Camp 12 Lake","Lead-210",-20,0,2.25,0.5,"linear interpolation"
333,171,"Camp 12 Lake","Lead-210",-12,0,3.25,0.5,"linear interpolation"
333,171,"Camp 12 Lake","Lead-210",-5,0,4.25,0.5,"linear interpolation"
333,171,"Camp 12 Lake","Lead-210",2,0,5.25,0.5,"linear interpolation"
333,171,"Camp 12 Lake","Lead-210",8,0,6.25,0.5,"linear interpolation"
333,171,"Camp 12 Lake","Lead-210",14,0,7.25,0.5,"linear interpolation"
333,171,"Camp 12 Lake","Lead-210",20,0,8.25,0.5,"linear interpolation"
333,171,"Camp 12 Lake","Lead-210",23,0,9.25,0.5,"linear interpolation"
333,171,"Camp 12 Lake","Lead-210",37,0,11.75,0.5,"linear interpolation"
333,171,"Camp 12 Lake","Lead-210",43,0,12.75,0.5,"linear interpolation"
333,171,"Camp 12 Lake","Lead-210",56,0,15.25,0.5,"linear interpolation"
333,171,"Camp 12 Lake","Lead-210",66,0,17.25,0.5,"linear interpolation"
334,172,"Campbell Lake","Core top",-15,15,0,NA,"linear interpolation"
334,172,"Campbell Lake","Biostratigraphic, pollen",100,10,45,10,"linear interpolation"
352,194,"Cedar Bog","Core top",-10,10,130,1,"linear interpolation"
352,194,"Cedar Bog","Biostratigraphic, pollen",100,50,170,40,"linear interpolation"
352,194,"Cedar Bog","Radiocarbon",4150,240,406.5,23,"linear interpolation"
352,194,"Cedar Bog","Radiocarbon",7880,240,945,10,"linear interpolation"
352,194,"Cedar Bog","Biostratigraphic, pollen",10000,500,1425,10,"linear interpolation"
369,208,"Chippewa Bog","Radiocarbon",1200,70,226.5,NA,"linear interpolation"
369,208,"Chippewa Bog","Radiocarbon",4130,70,481.5,NA,"linear interpolation"
369,208,"Chippewa Bog","Radiocarbon",8410,80,746.5,NA,"linear interpolation"
369,208,"Chippewa Bog","Radiocarbon",9540,100,858.5,NA,"linear interpolation"
382,224,"Cindy Pond","Core top",-15,15,0,NA,"linear interpolation"
382,224,"Cindy Pond","Biostratigraphic, pollen",70,30,15,10,"linear interpolation"
515,255,"Cottonwood Lake","Core top",-15,15,0,NA,"linear interpolation"
515,255,"Cottonwood Lake","Biostratigraphic, pollen",90,50,35,10,"linear interpolation"
521,261,"Crazy Pond","Core top",-15,15,0,NA,"linear interpolation"
521,261,"Crazy Pond","Biostratigraphic, pollen",70,30,15,10,"linear interpolation"
532,275,"Cub Lake","Core top",20,20,0,NA,"linear interpolation"
532,275,"Cub Lake","Biostratigraphic, pollen",100,50,22,NA,"linear interpolation"
532,275,"Cub Lake","Radiocarbon, reservoir correction",780,80,33,NA,"linear interpolation"
532,275,"Cub Lake","Radiocarbon, reservoir correction",1160,80,123.5,NA,"linear interpolation"
532,275,"Cub Lake","Radiocarbon, reservoir correction",2440,75,203,NA,"linear interpolation"
532,275,"Cub Lake","Radiocarbon, reservoir correction",4030,80,325,NA,"linear interpolation"
532,275,"Cub Lake","Radiocarbon, reservoir correction",8220,100,421,NA,"linear interpolation"
545,288,"Dalton Lake","Core top",-15,15,0,NA,"linear interpolation"
545,288,"Dalton Lake","Biostratigraphic, pollen",80,20,35,10,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",10,4,10,2,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",20,-1,20,2.27,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",30,4,30,1.44,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",40,4,40,1.59,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",50,4,50,1.12,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",60,4,60,1.56,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",70,4,70,1.02,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",80,4,80,1.52,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",90,4,90,1.89,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",100,4,100,1.27,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",110,4,110,0.85,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",120,4,120,0.67,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",130,4,130,0.51,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",140,4,140,0.6,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",150,4,150,0.69,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",160,4,160,0.46,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",170,4,170,0.62,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",180,4,180,0.49,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",190,4,190,0.57,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",200,4,200,0.56,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",210,4,210,0.59,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",246,4,246,0.47,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",286,4,286,0.72,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",324,4,324,0.43,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",364,4,364,0.61,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",402,4,402,0.45,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",450,4,450,0.61,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",491,4,491,0.8,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",530,4,530,0.7,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",570,4,570,0.97,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",610,4,610,0.64,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",650,4,650,0.7,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",690,4,690,0.45,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",730,4,730,0.74,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",770,4,770,0.72,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",810,4,810,0.62,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",850,4,850,0.73,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",890,4,890,0.8,"linear interpolation"
546,291,"Dark Lake","Annual laminations (varves)",930,4,930,0.73,"linear interpolation"
679,306,"Demont Lake","Core top",0,20,0,NA,"linear interpolation"
679,306,"Demont Lake","Biostratigraphic, pollen",100,30,50,NA,"linear interpolation"
679,306,"Demont Lake","Radiocarbon",640,130,100,NA,"linear interpolation"
679,306,"Demont Lake","Radiocarbon",3935,65,340,NA,"linear interpolation"
679,306,"Demont Lake","Radiocarbon",7055,195,578,NA,"linear interpolation"
679,306,"Demont Lake","Radiocarbon",10770,110,742,NA,"linear interpolation"
679,306,"Demont Lake","Radiocarbon",11410,290,935,NA,"linear interpolation"
681,307,"Denton Lake","Lead-210",-33,0,0.2,0.5,"linear interpolation"
681,307,"Denton Lake","Lead-210",-32,0,1.25,0.5,"linear interpolation"
681,307,"Denton Lake","Lead-210",-30,0,2.25,0.5,"linear interpolation"
681,307,"Denton Lake","Lead-210",-26,0,3.75,0.5,"linear interpolation"
681,307,"Denton Lake","Lead-210",-21,0,5.75,0.5,"linear interpolation"
681,307,"Denton Lake","Lead-210",-16,0,7.75,0.5,"linear interpolation"
681,307,"Denton Lake","Lead-210",-9,0,9.75,0.5,"linear interpolation"
681,307,"Denton Lake","Lead-210",16,0,12.25,0.5,"linear interpolation"
681,307,"Denton Lake","Lead-210",26,0,14.75,0.5,"linear interpolation"
681,307,"Denton Lake","Lead-210",37,0,17.25,0.5,"linear interpolation"
681,307,"Denton Lake","Lead-210",47,0,19.25,0.5,"linear interpolation"
681,307,"Denton Lake","Lead-210",56,0,20.5,0.7,"linear interpolation"
681,307,"Denton Lake","Lead-210",65,0,22.25,0.5,"linear interpolation"
684,9930,"Devils Lake","Radiocarbon",2055,65,151.5,5,"Bacon"
684,9930,"Devils Lake","Radiocarbon",2430,65,166.5,5,"Bacon"
684,9930,"Devils Lake","Radiocarbon",4105,65,265,4,"Bacon"
684,9930,"Devils Lake","Radiocarbon",5245,65,336,4,"Bacon"
684,9930,"Devils Lake","Radiocarbon",6920,75,397,4,"Bacon"
684,9930,"Devils Lake","Radiocarbon",8640,85,457,4,"Bacon"
684,9930,"Devils Lake","Radiocarbon",8590,50,474,2,"Bacon"
684,9930,"Devils Lake","Radiocarbon",9740,50,535,1,"Bacon"
684,9930,"Devils Lake","Radiocarbon",10110,140,550,2,"Bacon"
684,9930,"Devils Lake","Radiocarbon",10730,50,583.75,2.5,"Bacon"
684,9930,"Devils Lake","Radiocarbon",12580,130,633,12,"Bacon"
684,9930,"Devils Lake","Core top",0,10,0,1,"Bacon"
684,9930,"Devils Lake","Ambrosia rise",120,10,21.5,7,"Bacon"
700,322,"Disterhaft Farm Bog","Biostratigraphic, pollen",1639,200,100,112,"linear interpolation"
700,322,"Disterhaft Farm Bog","Biostratigraphic, pollen",3716,200,310,30,"linear interpolation"
700,322,"Disterhaft Farm Bog","Biostratigraphic, pollen",5441,200,420,30,"linear interpolation"
700,322,"Disterhaft Farm Bog","Biostratigraphic, pollen",10767,200,680,25,"linear interpolation"
3081,1396,"Disterhaft Farm Bog","Guess",500,100,40,NA,"linear interpolation"
3081,1396,"Disterhaft Farm Bog","Radiocarbon",2850,130,205,10,"linear interpolation"
3081,1396,"Disterhaft Farm Bog","Radiocarbon",5370,140,393.5,7,"linear interpolation"
3081,1396,"Disterhaft Farm Bog","Radiocarbon",8480,170,525,10,"linear interpolation"
3081,1396,"Disterhaft Farm Bog","Radiocarbon",11150,320,670,10,"linear interpolation"
3081,1396,"Disterhaft Farm Bog","Radiocarbon",12520,230,775,10,"linear interpolation"
3081,1396,"Disterhaft Farm Bog","Radiocarbon",15560,300,873,10,"linear interpolation"
717,326,"Dogfish Lake","Core top",-24,0,0,NA,"linear interpolation"
717,326,"Dogfish Lake","Biostratigraphic, pollen",150,50,49,1,"linear interpolation"
774,337,"Dunnigan Lake","Lead-210",-33,0,0.2,0.5,"linear interpolation"
774,337,"Dunnigan Lake","Lead-210",-30,0,1.25,0.5,"linear interpolation"
774,337,"Dunnigan Lake","Lead-210",-25,0,2.75,0.5,"linear interpolation"
774,337,"Dunnigan Lake","Lead-210",-20,0,4.25,0.5,"linear interpolation"
774,337,"Dunnigan Lake","Lead-210",-15,0,5.25,0.5,"linear interpolation"
774,337,"Dunnigan Lake","Lead-210",-11,0,6.25,0.5,"linear interpolation"
